2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
87761;88817;Branca;Rio Branco ;AC;1200401
18630;34518;Preta;Rio Branco ;AC;1200401
7171;1089;Amarela;Rio Branco ;AC;1200401
221753;238568;Parda;Rio Branco ;AC;1200401
711;1762;Indígena;Rio Branco ;AC;1200401
