Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;2802;100,00;Brasiléia ;AC;1200104
Proteção integral;0;0;Brasiléia ;AC;1200104
Proteção integral e uso sustentável;0;0;Brasiléia ;AC;1200104
