Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;3792;100,00;Xapuri ;AC;1200708
Proteção integral;0;0;Xapuri ;AC;1200708
Proteção integral e uso sustentável;0;0;Xapuri ;AC;1200708
