Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,96;Capixaba ;AC;1200179
Naturalizados brasileiros;0,04;Capixaba ;AC;1200179
Estrangeiros;0;Capixaba ;AC;1200179
