Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Itamarati ;AM;1301951
Naturalizados brasileiros;0;Itamarati ;AM;1301951
Estrangeiros;0;Itamarati ;AM;1301951
