Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;477;100,00;Augusto Corrêa ;PA;1500909
Proteção integral;0;0;Augusto Corrêa ;PA;1500909
Proteção integral e uso sustentável;0;0;Augusto Corrêa ;PA;1500909
