Lugar;Pessoas;Município;Sigla UF;Código do Município
Amazonas;36;Bujari ;AC;1200138
Rondônia;11;Bujari ;AC;1200138
Minas Gerais;11;Bujari ;AC;1200138
Roraima;6;Bujari ;AC;1200138
Paraná;4;Bujari ;AC;1200138
Mato Grosso do Sul;3;Bujari ;AC;1200138
