Lugar;Pessoas;Município;Sigla UF;Código do Município
Rondônia;65;Curuçá ;PA;1502905
Santa Catarina;59;Curuçá ;PA;1502905
Amapá;42;Curuçá ;PA;1502905
Mato Grosso;35;Curuçá ;PA;1502905
Amazonas;33;Curuçá ;PA;1502905
Maranhão;19;Curuçá ;PA;1502905
Rio de Janeiro;19;Curuçá ;PA;1502905
São Paulo;17;Curuçá ;PA;1502905
Ceará;13;Curuçá ;PA;1502905
