Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,96;Eirunepé ;AM;1301407
Naturalizados brasileiros;0;Eirunepé ;AM;1301407
Estrangeiros;0,04;Eirunepé ;AM;1301407
