Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;635;100,00;Assis Brasil ;AC;1200054
Proteção integral;0;0;Assis Brasil ;AC;1200054
Proteção integral e uso sustentável;0;0;Assis Brasil ;AC;1200054
