Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;416;82,70;Pedra Branca do Amapari ;AP;1600154
Proteção integral;87;17,30;Pedra Branca do Amapari ;AP;1600154
Proteção integral e uso sustentável;0;0;Pedra Branca do Amapari ;AP;1600154
