Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;189;98,44;Senador José Porfírio ;PA;1507805
Proteção integral;3;1,56;Senador José Porfírio ;PA;1507805
Proteção integral e uso sustentável;0;0;Senador José Porfírio ;PA;1507805
