Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,96;São Caetano de Odivelas ;PA;1507102
Naturalizados brasileiros;0;São Caetano de Odivelas ;PA;1507102
Estrangeiros;0,04;São Caetano de Odivelas ;PA;1507102
