Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Capixaba ;AC;1200179
1980;;Capixaba ;AC;1200179
1991;;Capixaba ;AC;1200179
2000;5206;Capixaba ;AC;1200179
2010;8798;Capixaba ;AC;1200179
2022;10392;Capixaba ;AC;1200179
