Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;19261;Vigia ;PA;1508209
1980;24825;Vigia ;PA;1508209
1991;37418;Vigia ;PA;1508209
2000;40176;Vigia ;PA;1508209
2010;47889;Vigia ;PA;1508209
2022;50832;Vigia ;PA;1508209
