Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,96;Alvarães ;AM;1300029
Naturalizados brasileiros;0,01;Alvarães ;AM;1300029
Estrangeiros;0,04;Alvarães ;AM;1300029
