Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,93;Guajará ;AM;1301654
Naturalizados brasileiros;0,07;Guajará ;AM;1301654
Estrangeiros;0;Guajará ;AM;1301654
