Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,77;Nova Timboteua ;PA;1505007
Naturalizados brasileiros;0,09;Nova Timboteua ;PA;1505007
Estrangeiros;0,15;Nova Timboteua ;PA;1505007
