Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Bagre ;PA;1501105
Naturalizados brasileiros;0;Bagre ;PA;1501105
Estrangeiros;0;Bagre ;PA;1501105
