Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Vigia ;PA;1508209
Proteção integral;-;-;Vigia ;PA;1508209
Proteção integral e uso sustentável;-;-;Vigia ;PA;1508209
