Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Uruará ;PA;1508159
Proteção integral;-;-;Uruará ;PA;1508159
Proteção integral e uso sustentável;-;-;Uruará ;PA;1508159
