Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;São João de Pirabas ;PA;1507474
Proteção integral;-;-;São João de Pirabas ;PA;1507474
Proteção integral e uso sustentável;-;-;São João de Pirabas ;PA;1507474
