Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Augusto Corrêa ;PA;1500909
Naturalizados brasileiros;0;Augusto Corrêa ;PA;1500909
Estrangeiros;0;Augusto Corrêa ;PA;1500909
