Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Vitória do Xingu ;PA;1508357
Porcentagem da população que reside em Unidades de Conservação;Não há;Vitória do Xingu ;PA;1508357
