Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;1287;100,00;Tefé ;AM;1304203
Proteção integral;0;0;Tefé ;AM;1304203
Proteção integral e uso sustentável;0;0;Tefé ;AM;1304203
