Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Peixe-Boi ;PA;1505601
Porcentagem da população que reside em Unidades de Conservação;Não há;Peixe-Boi ;PA;1505601
