Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;5058;Magalhães Barata ;PA;1504109
1980;5996;Magalhães Barata ;PA;1504109
1991;7331;Magalhães Barata ;PA;1504109
2000;7693;Magalhães Barata ;PA;1504109
2010;8115;Magalhães Barata ;PA;1504109
2022;8115;Magalhães Barata ;PA;1504109
