Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Brasil Novo ;PA;1501725
1980;;Brasil Novo ;PA;1501725
1991;;Brasil Novo ;PA;1501725
2000;17193;Brasil Novo ;PA;1501725
2010;15690;Brasil Novo ;PA;1501725
2022;24718;Brasil Novo ;PA;1501725
