Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Plácido de Castro ;AC;1200385
1980;9253;Plácido de Castro ;AC;1200385
1991;15535;Plácido de Castro ;AC;1200385
2000;15172;Plácido de Castro ;AC;1200385
2010;17209;Plácido de Castro ;AC;1200385
2022;16560;Plácido de Castro ;AC;1200385
