Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;1770;100,00;Epitaciolândia ;AC;1200252
Proteção integral;0;0;Epitaciolândia ;AC;1200252
Proteção integral e uso sustentável;0;0;Epitaciolândia ;AC;1200252
