2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
3074;3488;Branca;Porto Acre ;AC;1200807
645;2175;Preta;Porto Acre ;AC;1200807
124;55;Amarela;Porto Acre ;AC;1200807
11016;10894;Parda;Porto Acre ;AC;1200807
21;81;Indígena;Porto Acre ;AC;1200807
