Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;192;Senador José Porfírio ;PA;1507805
Porcentagem da população que reside em Unidades de Conservação;0,85;Senador José Porfírio ;PA;1507805
