Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Quatipuru ;PA;1506112
Naturalizados brasileiros;0;Quatipuru ;PA;1506112
Estrangeiros;0;Quatipuru ;PA;1506112
