Lugar;Pessoas;Município;Sigla UF;Código do Município
Goiás;33;Tracuateua ;PA;1508035
Rio de Janeiro;27;Tracuateua ;PA;1508035
Santa Catarina;17;Tracuateua ;PA;1508035
Maranhão;11;Tracuateua ;PA;1508035
Roraima;9;Tracuateua ;PA;1508035
Mato Grosso;7;Tracuateua ;PA;1508035
