Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;1493;100,00;Uarini ;AM;1304260
Proteção integral;0;0;Uarini ;AM;1304260
Proteção integral e uso sustentável;0;0;Uarini ;AM;1304260
