Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Colares ;PA;1502608
Proteção integral;-;-;Colares ;PA;1502608
Proteção integral e uso sustentável;-;-;Colares ;PA;1502608
