Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;477;Augusto Corrêa ;PA;1500909
Porcentagem da população que reside em Unidades de Conservação;1,07;Augusto Corrêa ;PA;1500909
