Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;10366;100,00;Rio Branco ;AC;1200401
Proteção integral;0;0;Rio Branco ;AC;1200401
Proteção integral e uso sustentável;0;0;Rio Branco ;AC;1200401
