Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;3791;100,00;Gurupá ;PA;1503101
Proteção integral;0;0;Gurupá ;PA;1503101
Proteção integral e uso sustentável;0;0;Gurupá ;PA;1503101
