Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Senador Guiomard ;AC;1200450
Proteção integral;-;-;Senador Guiomard ;AC;1200450
Proteção integral e uso sustentável;-;-;Senador Guiomard ;AC;1200450
