Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Acrelândia ;AC;1200013
1980;;Acrelândia ;AC;1200013
1991;;Acrelândia ;AC;1200013
2000;7935;Acrelândia ;AC;1200013
2010;12538;Acrelândia ;AC;1200013
2022;14021;Acrelândia ;AC;1200013
