Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,95;Pacajá ;PA;1505486
Naturalizados brasileiros;0,02;Pacajá ;PA;1505486
Estrangeiros;0,04;Pacajá ;PA;1505486
