Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;950;São Caetano de Odivelas ;PA;1507102
Porcentagem da população que reside em Unidades de Conservação;5,7;São Caetano de Odivelas ;PA;1507102
