Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;Cutias ;AP;1600212
1980;;Cutias ;AP;1600212
1991;;Cutias ;AP;1600212
2000;3280;Cutias ;AP;1600212
2010;4696;Cutias ;AP;1600212
2022;4461;Cutias ;AP;1600212
