País;Pessoas;Município;Sigla UF;Código do Município
Alemanha;45;Altamira ;PA;1500602
Bolívia;23;Altamira ;PA;1500602
Venezuela;23;Altamira ;PA;1500602
Paraguai;20;Altamira ;PA;1500602
Argentina;12;Altamira ;PA;1500602
