Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;470;100,00;Eirunepé ;AM;1301407
Proteção integral;0;0;Eirunepé ;AM;1301407
Proteção integral e uso sustentável;0;0;Eirunepé ;AM;1301407
