Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;26650;Capanema ;PA;1502202
1980;40102;Capanema ;PA;1502202
1991;51166;Capanema ;PA;1502202
2000;57119;Capanema ;PA;1502202
2010;63639;Capanema ;PA;1502202
2022;70394;Capanema ;PA;1502202
