Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;;São João de Pirabas ;PA;1507474
1980;;São João de Pirabas ;PA;1507474
1991;16259;São João de Pirabas ;PA;1507474
2000;17484;São João de Pirabas ;PA;1507474
2010;20647;São João de Pirabas ;PA;1507474
2022;20689;São João de Pirabas ;PA;1507474
