Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;100,00;Colares ;PA;1502608
Naturalizados brasileiros;0;Colares ;PA;1502608
Estrangeiros;0;Colares ;PA;1502608
