2010 População (pessoas);2022 População (pessoas);Cor ou raça;Município;Sigla UF;Código do Município
23332;22875;Branca;Santana ;AP;1600600
6015;9301;Preta;Santana ;AP;1600600
644;58;Amarela;Santana ;AP;1600600
71222;75322;Parda;Santana ;AP;1600600
49;60;Indígena;Santana ;AP;1600600
