Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,93;Terra Alta ;PA;1507961
Naturalizados brasileiros;0,07;Terra Alta ;PA;1507961
Estrangeiros;0;Terra Alta ;PA;1507961
