Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Itaubal ;AP;1600253
Proteção integral;-;-;Itaubal ;AP;1600253
Proteção integral e uso sustentável;-;-;Itaubal ;AP;1600253
