Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;3717;100,00;Carauari ;AM;1301001
Proteção integral;0;0;Carauari ;AM;1301001
Proteção integral e uso sustentável;0;0;Carauari ;AM;1301001
