Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Pacajá ;PA;1505486
Proteção integral;-;-;Pacajá ;PA;1505486
Proteção integral e uso sustentável;-;-;Pacajá ;PA;1505486
