Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Porto Acre ;AC;1200807
Proteção integral;-;-;Porto Acre ;AC;1200807
Proteção integral e uso sustentável;-;-;Porto Acre ;AC;1200807
