Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;X;X;Magalhães Barata ;PA;1504109
Proteção integral;X;X;Magalhães Barata ;PA;1504109
Proteção integral e uso sustentável;X;X;Magalhães Barata ;PA;1504109
