Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;194;100,00;Porto Grande ;AP;1600535
Proteção integral;0;0;Porto Grande ;AP;1600535
Proteção integral e uso sustentável;0;0;Porto Grande ;AP;1600535
