Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;99,80;Tefé ;AM;1304203
Naturalizados brasileiros;0,06;Tefé ;AM;1304203
Estrangeiros;0,14;Tefé ;AM;1304203
