Lugar;Pessoas;Município;Sigla UF;Código do Município
Maranhão;100;Augusto Corrêa ;PA;1500909
Distrito Federal;96;Augusto Corrêa ;PA;1500909
Santa Catarina;27;Augusto Corrêa ;PA;1500909
Ceará;26;Augusto Corrêa ;PA;1500909
Mato Grosso;26;Augusto Corrêa ;PA;1500909
Exterior;10;Augusto Corrêa ;PA;1500909
Rio de Janeiro;9;Augusto Corrêa ;PA;1500909
