Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;97,39;Epitaciolândia ;AC;1200252
Naturalizados brasileiros;0,60;Epitaciolândia ;AC;1200252
Estrangeiros;2,00;Epitaciolândia ;AC;1200252
