Ano da pesquisa;População;Município;Sigla UF;Código do Município
1970;15345;Altamira ;PA;1500602
1980;46496;Altamira ;PA;1500602
1991;72408;Altamira ;PA;1500602
2000;77439;Altamira ;PA;1500602
2010;99075;Altamira ;PA;1500602
2022;126279;Altamira ;PA;1500602
