Nacionalidade;Percentual;Município;Sigla UF;Código do Município
Brasileiros natos;98,80;Brasiléia ;AC;1200104
Naturalizados brasileiros;0,47;Brasiléia ;AC;1200104
Estrangeiros;0,74;Brasiléia ;AC;1200104
