Indicador;Valor;Município;Sigla UF;Código do Município
População em Unidades de Conservação;Não há;Nova Timboteua ;PA;1505007
Porcentagem da população que reside em Unidades de Conservação;Não há;Nova Timboteua ;PA;1505007
