Grupo de Unidade de Conservação;População;Percentual;Município;Sigla UF;Código do Município
Uso sustentável;-;-;Terra Alta ;PA;1507961
Proteção integral;-;-;Terra Alta ;PA;1507961
Proteção integral e uso sustentável;-;-;Terra Alta ;PA;1507961
